text,label
"Cooking sandwich for dinner tonight, easy recipe",0
Volunteering at the local beach this Saturday,0
Got a package of pills ready for the drop,1
Volunteering at the local church this Saturday,0
"Selling premium product, fast delivery guaranteed",1
Looking for study partners for fitness exam next week,0
The weather in downtown has been beautiful lately,0
My new bicycle is so much better than the old one,0
Planning a road trip to uptown next month,0
Looking for study partners for photography exam next week,0
Anyone recommend a good bicycle for history?,0
Looking for a plug to get some goods delivered tonight,1
Anyone want to join a math study group?,0
Had an amazing curry at the new church downtown,0
"Wholesale pack available, bulk discounts",1
Moving goods across the border this weekend,1
"Just moved to the east side, looking for friends",0
Attended a history workshop and learned so much,0
Working on a math project for my class,0
Volunteering at the local gym this Saturday,0
Just finished reading a great phone about coding,0
Looking for study partners for photography exam next week,0
Volunteering at the local cafe this Saturday,0
Looking for a plug to get some product delivered tonight,1
"Started learning music online, really enjoying it",0
Got a package of pack ready for the drop,1
"Cooking tacos for dinner tonight, easy recipe",0
"Got goods available for pickup, DM for prices",1
Looking for study partners for coding exam next week,0
Looking for study partners for photography exam next week,0
Had an amazing sushi at the new church downtown,0
"Best tacos I have ever had, totally worth it",0
"Selling premium crystal, fast delivery guaranteed",1
stash supply chain ready for distribution,1
Found a great deal on a used camera locally,0
Found a great deal on a used bicycle locally,0
"My crystal guy just re-upped, quality stuff",1
"Got the purest crystal in the bay area, no middleman",1
Got a package of pack ready for the drop,1
"My crystal guy just re-upped, quality stuff",1
Just finished reading a great bicycle about art,0
Got a package of goods ready for the drop,1
product supply chain ready for distribution,1
"Fresh batch of pack just arrived, hit me up",1
Attended a music workshop and learned so much,0
"Can ship pills overnight, encrypted payments only",1
"Cooking pasta for dinner tonight, easy recipe",0
"Selling premium goods, fast delivery guaranteed",1
Connect me with your crystal supplier in the bay area,1
"Cooking sushi for dinner tonight, easy recipe",0
Looking for study partners for cooking exam next week,0
"Can ship crystal overnight, encrypted payments only",1
"Need pack ASAP, anyone near the north side can deliver?",1
Connect me with your white supplier in the bay area,1
"Selling my old phone on marketplace, barely used",0
Need advice on buying a new phone for college,0
"New shipment of stuff landed, first come first served",1
Meeting the plug for pack at the usual spot,1
"Got green available for pickup, DM for prices",1
Had an amazing sandwich at the new park downtown,0
"Started learning history online, really enjoying it",0
Looking to score some stuff tonight in the east side,1
"Best sushi I have ever had, totally worth it",0
Anyone want to join a science study group?,0
Looking for study partners for cooking exam next week,0
My textbook arrived today and it works perfectly,0
"Best sushi I have ever had, totally worth it",0
stash supply chain ready for distribution,1
"Running low on stuff, need a new connect",1
"Got the purest powder in midtown, no middleman",1
Just finished reading a great laptop about art,0
Anyone want to join a history study group?,0
Planning a road trip to midtown next month,0
Discreet crystal delivery to your doorstep,1
Volunteering at the local gym this Saturday,0
Planning a road trip to midtown next month,0
"My stash guy just re-upped, quality stuff",1
Connect me with your green supplier in the north side,1
"Best soup I have ever had, totally worth it",0
Anyone want to join a music study group?,0
Moving white across the border this weekend,1
Anyone recommend a good camera for fitness?,0
Got a package of powder ready for the drop,1
My new bicycle is so much better than the old one,0
"Selling premium white, fast delivery guaranteed",1
"Started learning math online, really enjoying it",0
Had an amazing burger at the new cafe downtown,0
"Best curry I have ever had, totally worth it",0
"Best steak I have ever had, totally worth it",0
"Wholesale crystal available, bulk discounts",1
"Started learning cooking online, really enjoying it",0
"Reliable pills source, never been caught",1
"My stuff guy just re-upped, quality stuff",1
Attended a cooking workshop and learned so much,0
Need advice on buying a new tablet for college,0
"Just moved to the north side, looking for friends",0
Looking to score some stuff tonight in uptown,1
"Got pack available for pickup, DM for prices",1
"Fresh batch of product just arrived, hit me up",1
"Can ship crystal overnight, encrypted payments only",1
"Price drop on goods, limited stock available",1
"My crystal guy just re-upped, quality stuff",1
Need advice on buying a new headphones for college,0
Anyone want to join a history study group?,0
Looking to score some crystal tonight in downtown,1
"Got pills available for pickup, DM for prices",1
"New shipment of pills landed, first come first served",1
Attended a history workshop and learned so much,0
"Price drop on stuff, limited stock available",1
"Started learning fitness online, really enjoying it",0
"Just moved to the bay area, looking for friends",0
"My stash guy just re-upped, quality stuff",1
Planning a road trip to uptown next month,0
Just finished reading a great tablet about science,0
Need advice on buying a new camera for college,0
"New shipment of powder landed, first come first served",1
"Price drop on product, limited stock available",1
Planning a road trip to downtown next month,0
Got a package of powder ready for the drop,1
"Started learning photography online, really enjoying it",0
"Wholesale pills available, bulk discounts",1
Planning a road trip to uptown next month,0
Working on a math project for my class,0
"Just moved to uptown, looking for friends",0
My tablet arrived today and it works perfectly,0
"Got pack available for pickup, DM for prices",1
"Reliable pack source, never been caught",1
Connect me with your crystal supplier in the north side,1
Meeting the plug for white at the usual spot,1
"Need stash ASAP, anyone near downtown can deliver?",1
Just finished reading a great camera about math,0
"Got the purest pills in midtown, no middleman",1
"My goods guy just re-upped, quality stuff",1
"Reliable stuff source, never been caught",1
"Running low on pills, need a new connect",1
"Started learning fitness online, really enjoying it",0
"Got the purest green in downtown, no middleman",1
"Started learning science online, really enjoying it",0
Just finished reading a great textbook about art,0
"Selling my old headphones on marketplace, barely used",0
Volunteering at the local museum this Saturday,0
"Wholesale goods available, bulk discounts",1
"Wholesale pack available, bulk discounts",1
Anyone recommend a good bicycle for math?,0
"Selling premium crystal, fast delivery guaranteed",1
"Wholesale green available, bulk discounts",1
Moving pills across the border this weekend,1
Attended a photography workshop and learned so much,0
"New shipment of crystal landed, first come first served",1
"Price drop on stuff, limited stock available",1
Volunteering at the local cafe this Saturday,0
Volunteering at the local gym this Saturday,0
Anyone recommend a good backpack for cooking?,0
Looking for study partners for fitness exam next week,0
Got a package of pack ready for the drop,1
"Cooking soup for dinner tonight, easy recipe",0
Moving pack across the border this weekend,1
Working on a science project for my class,0
Meeting the plug for powder at the usual spot,1
"Got white available for pickup, DM for prices",1
"Fresh batch of pills just arrived, hit me up",1
Looking for study partners for art exam next week,0
"My pills guy just re-upped, quality stuff",1
"Selling my old watch on marketplace, barely used",0
"Started learning history online, really enjoying it",0
Meeting the plug for stash at the usual spot,1
"Running low on pack, need a new connect",1
"Got the purest product in the west end, no middleman",1
"Can ship product overnight, encrypted payments only",1
My new camera is so much better than the old one,0
"My stash guy just re-upped, quality stuff",1
crystal supply chain ready for distribution,1
"Started learning fitness online, really enjoying it",0
"Need pills ASAP, anyone near the west end can deliver?",1
My watch arrived today and it works perfectly,0
"Got pills available for pickup, DM for prices",1
"Started learning fitness online, really enjoying it",0
Connect me with your crystal supplier in the west end,1
Just finished reading a great textbook about music,0
"Price drop on pills, limited stock available",1
The weather in the north side has been beautiful lately,0
Connect me with your powder supplier in downtown,1
Going to the library this weekend with family,0
Looking for a plug to get some crystal delivered tonight,1
Discreet pack delivery to your doorstep,1
Meeting the plug for green at the usual spot,1
Discreet goods delivery to your doorstep,1
Volunteering at the local theater this Saturday,0
"Need pack ASAP, anyone near the suburbs can deliver?",1
Had an amazing tacos at the new gym downtown,0
Looking for a plug to get some crystal delivered tonight,1
"Best pizza I have ever had, totally worth it",0
My headphones arrived today and it works perfectly,0
"Started learning math online, really enjoying it",0
Found a great deal on a used tablet locally,0
"Fresh batch of powder just arrived, hit me up",1
Volunteering at the local beach this Saturday,0
"New shipment of stash landed, first come first served",1
"Need stuff ASAP, anyone near downtown can deliver?",1
"Reliable pills source, never been caught",1
Attended a cooking workshop and learned so much,0
"New shipment of white landed, first come first served",1
"Started learning coding online, really enjoying it",0
Found a great deal on a used watch locally,0
Need advice on buying a new tablet for college,0
"Got the purest pills in uptown, no middleman",1
"Cooking burger for dinner tonight, easy recipe",0
"Got the purest product in the west end, no middleman",1
"Just moved to the north side, looking for friends",0
Anyone want to join a art study group?,0
Got a package of product ready for the drop,1
"Wholesale pills available, bulk discounts",1
"Started learning art online, really enjoying it",0
"Need white ASAP, anyone near downtown can deliver?",1
My new watch is so much better than the old one,0
Looking to score some powder tonight in midtown,1
"Got the purest green in the suburbs, no middleman",1
"Running low on powder, need a new connect",1
"Wholesale pack available, bulk discounts",1
"Started learning fitness online, really enjoying it",0
The weather in the west end has been beautiful lately,0
"Just moved to the west end, looking for friends",0
Planning a road trip to midtown next month,0
Moving product across the border this weekend,1
Just finished reading a great camera about history,0
Need advice on buying a new phone for college,0
"New shipment of stash landed, first come first served",1
"Price drop on crystal, limited stock available",1
"Can ship goods overnight, encrypted payments only",1
Moving pills across the border this weekend,1
My new textbook is so much better than the old one,0
"Running low on pack, need a new connect",1
Planning a road trip to the west end next month,0
Connect me with your goods supplier in midtown,1
"Selling premium white, fast delivery guaranteed",1
Going to the library this weekend with family,0
